Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,76.260002,76.870003,76.199997,76.32,75.034164,2211200
2017-09-06,76.389999,76.510002,75.809998,76.209999,74.926018,1596000
2017-09-07,76.309998,76.82,76.150002,76.470001,75.181641,1224400
2017-09-08,76.41999799999999,77.089996,76.349998,76.480003,75.191475,1375600
2017-09-11,76.82,78.139999,76.75,77.800003,76.489235,1675200
2017-09-12,77.709999,77.910004,76.809998,77.16999799999999,75.869843,1809900
2017-09-13,77.099998,77.58000200000001,76.900002,77.129997,75.830513,1340700
2017-09-14,77.209999,77.58000200000001,76.989998,77.160004,75.860008,1802400
2017-09-15,77.220001,77.220001,75.220001,75.25,73.98219300000001,5742900
2017-09-18,75.360001,75.970001,75.349998,75.709999,74.434441,2193500
2017-09-19,75.709999,75.83000200000001,75.040001,75.760002,74.483597,1444300
2017-09-20,75.910004,76.639999,75.889999,76.370003,75.08332800000001,1520300
2017-09-21,76.550003,76.690002,76.16999799999999,76.480003,75.191475,1270100
2017-09-22,76.480003,76.480003,75.790001,75.970001,74.69005600000001,1451900
2017-09-25,75.57,75.57,73.379997,73.949997,72.704086,3807100
2017-09-26,73.970001,74.129997,73.309998,73.400002,72.163353,2306700
2017-09-27,73.410004,73.75,72.68,73.099998,71.868416,3166400
2017-09-28,72.660004,73.699997,72.610001,73.5,72.26168100000001,2410200
2017-09-29,73.5,73.940002,73.209999,73.610001,72.369827,1942300
2017-10-02,73.370003,74.019997,73.370003,73.75,72.507469,2155000
2017-10-03,73.809998,74.389999,73.809998,73.91999799999999,72.674599,1980200
2017-10-04,74.029999,74.32,73.91999799999999,74.099998,72.851563,1420500
2017-10-05,74.110001,74.910004,74.0,74.58000200000001,73.323479,1704100
2017-10-06,74.730003,76.16999799999999,74.57,75.93,74.650734,2748400
2017-10-09,75.949997,76.290001,75.610001,76.0,74.719559,1439100
2017-10-10,76.08000200000001,76.739998,75.739998,76.18,74.896523,1402700
2017-10-11,76.199997,77.029999,76.199997,76.639999,75.34877,1797300
2017-10-12,76.5,76.849998,76.279999,76.410004,75.122658,1676100
2017-10-13,76.470001,76.5,75.879997,76.199997,74.91618299999999,1536200
2017-10-16,76.510002,76.779999,75.940002,76.209999,74.926018,1490300
2017-10-17,76.110001,76.790001,76.040001,76.190002,74.906364,1410700
2017-10-18,76.370003,76.660004,76.0,76.019997,74.739212,1292700
2017-10-19,75.940002,76.160004,75.199997,75.82,74.542587,1727000
2017-10-20,76.050003,76.16999799999999,75.709999,76.16999799999999,74.886696,1271300
2017-10-23,76.269997,76.379997,75.529999,75.550003,74.27714499999999,1694600
2017-10-24,75.559998,75.739998,75.220001,75.339996,74.07067099999999,1398800
2017-10-25,75.0,75.309998,74.18,74.66999799999999,73.411964,2007600
2017-10-26,75.209999,76.150002,75.209999,75.870003,74.59174300000001,1829900
2017-10-27,75.989998,76.050003,75.129997,75.239998,73.97236600000001,2097900
2017-10-30,74.91999799999999,75.16999799999999,74.339996,74.959999,73.69708299999999,2026000
2017-10-31,74.82,75.150002,74.389999,74.449997,73.195663,1945300
2017-11-01,74.540001,74.949997,74.260002,74.309998,73.058029,1887200
2017-11-02,79.260002,80.660004,76.209999,79.150002,77.81649,4749400
2017-11-03,78.550003,80.220001,78.540001,78.910004,77.580536,2583900
2017-11-06,79.010002,79.949997,78.809998,79.870003,78.524353,1731600
2017-11-07,80.0,81.25,79.940002,81.010002,79.645149,2669300
2017-11-08,80.559998,81.650002,80.029999,81.129997,79.763115,2534500
2017-11-09,80.860001,81.150002,78.800003,79.529999,78.190086,2097000
2017-11-10,79.150002,79.779999,78.790001,79.589996,78.24906899999999,1604300
2017-11-13,79.58000200000001,79.959999,79.550003,79.739998,78.39654499999999,1306400
2017-11-14,79.550003,80.050003,79.389999,79.43,78.38668100000001,1250200
2017-11-15,79.0,79.519997,78.709999,78.800003,77.764961,1831000
2017-11-16,78.790001,79.220001,78.349998,78.540001,77.508362,1707100
2017-11-17,78.32,78.779999,78.050003,78.599998,77.567574,1486300
