,Ticker
359,ORCL
360,PCAR
361,PKG
362,PH
363,PAYX
364,PYPL
365,PNR
366,PBCT
367,PEP
368,PKI
369,PRGO
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,RL
378,PPG
379,PPL
380,PX
381,PFG
382,PG
383,PGR
384,PLD
385,PRU
386,PEG
387,PSA
388,PHM
389,PVH
390,QRVO
391,PWR
392,QCOM
393,DGX
394,RJF
395,RTN
396,O
397,RHT
398,REG
399,REGN
400,RF
401,RSG
402,RMD
403,RHI
404,ROK
405,COL
406,ROP
407,ROST
408,RCL
409,CRM
410,SBAC
411,SCG
412,SLB
413,STX
414,SEE
415,SRE
416,SHW
417,SPG
418,SWKS
419,SLG
420,SNA
421,SO
422,LUV
423,SPGI
424,SWK
425,SBUX
426,STT
427,SRCL
428,SYK
429,STI
430,SIVB
431,SYMC
432,SYF
433,SNPS
434,SYY
435,TROW
436,TTWO
437,TPR
438,TGT
439,TEL
440,FTI
441,TXN
442,TXT
443,TMO
444,TIF
445,TWTR
446,TJX
447,TMK
448,TSS
449,TSCO
450,TDG
451,TRV
452,TRIP
453,FOXA
454,FOX
455,TSN
456,UDR
457,ULTA
458,USB
459,UAA
460,UA
461,UNP
462,UAL
463,UNH
464,UPS
465,URI
466,UTX
467,UHS
468,UNM
469,VFC
470,VLO
471,VAR
472,VTR
473,VRSN
474,VRSK
475,VZ
476,VRTX
477,VIAB
478,V
479,VNO
480,VMC
481,WMT
482,WBA
483,DIS
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WDC
490,WU
491,WRK
492,WY
493,WHR
494,WMB
495,WLTW
496,WYNN
497,XEL
498,XRX
499,XLNX
500,XL
501,XYL
502,YUM
503,ZBH
504,ZION
505,ZTS
